lat	lon
-6.42766554	-37.16815346
-6.51221378	-37.17422098
-5.93542467	-36.99372659
-6.75332407	-36.22334040
-6.51895241	-37.57120466
-6.11579653	-36.14864791
-6.11030651	-36.94082314
-6.98031678	-36.99165624
-6.72001185	-36.50780005
-6.22179154	-36.56064078
-6.32425297	-36.08514103
-6.33042575	-37.65601212
-5.88909598	-36.61329888
-6.55406502	-37.66447670
-5.63794680	-37.19539794
-5.84088324	-36.22084483
-6.84253362	-36.25999658
-5.54670135	-36.81356721
-6.15712181	-37.00764569
-5.50532278	-36.62887963
-6.39106811	-36.77984124
-6.35139304	-36.16280421
-6.12447877	-37.43723423
-5.69772219	-36.46966846
-7.04668165	-37.42078556
-6.20987904	-36.24627425
-5.75392079	-37.14344966
-7.02519665	-36.78462899
-6.21682092	-36.25611786
-6.38526899	-36.40032131
-6.72034705	-37.11416908
-5.90616276	-36.16041606
-6.17786859	-37.17107805
-6.89672413	-36.50742317
-6.72714735	-37.02892447
-6.52094953	-37.37957686
-7.03308126	-36.76253901
-5.87406215	-37.49228432
-6.92397208	-36.75083841
-6.33327527	-36.74915277
-5.83965860	-37.14000243
-6.04968788	-37.70453087
-6.70980512	-36.21034383
-6.71284549	-36.50914775
-6.94440770	-37.39283321
-6.12141700	-37.27483346
-5.46520287	-37.00890809
-5.64605639	-37.11858079
-6.53103857	-37.09281322
-6.42144192	-36.09277677
-6.83975219	-36.76528004
-6.20670972	-36.68271533
-7.15386186	-37.05562221
-6.65966961	-36.78499079
-6.44991135	-37.61811789
-6.15356821	-36.70015550
-6.58330921	-36.66159261
-6.49751416	-36.71400476
-6.99589850	-37.48203887
-6.05681251	-37.32828039
-6.97946434	-36.84170439
-6.48115895	-37.38640011
-7.12515786	-36.68690801
-7.09710301	-36.96880137
-6.50840588	-37.76334383
-6.84492643	-37.15721925
-7.18755123	-36.74610692
-5.97044409	-37.26867315
-5.88638067	-37.57864701
-6.09141362	-37.11547688
-5.56142939	-36.49348384
-6.12739282	-36.38436547
-6.36764659	-37.15006234
-5.72079817	-37.28180115
-6.21930378	-36.64282792
-6.69325849	-36.67648139
-6.95704955	-36.74156114
-5.74581573	-37.51699792
-6.18360973	-36.94937640
-5.51485491	-37.24098263
-5.90694204	-36.72836586
-7.06865089	-36.53157309
-5.72472075	-36.48702241
-5.85291284	-36.71937693
-6.59045846	-37.56405314
-7.16452260	-37.22825507
-5.63888436	-37.21083208
-5.55602621	-37.00691788
-6.80173682	-36.84793384
-5.96906459	-37.08631268
-5.79460978	-37.32017580
-6.25703204	-37.45036082
-5.65446684	-37.23894069
-6.36428745	-36.95835293
-6.00760823	-36.74568941
-5.77974409	-36.38377979
-5.72307604	-37.41026989
-6.00507223	-36.95976926
-5.85993686	-37.36086431
-6.34852801	-36.09193737
-6.59452273	-36.88631232
-6.01716959	-36.56368704
-6.79310261	-36.24872121
-5.92967804	-36.21591234
-6.27521167	-36.64410444
-6.61496298	-37.46690376
-6.38173939	-37.63077627
-6.82531892	-36.53669120
-6.46191942	-37.28053377
-6.51278407	-36.39765577
-6.28332702	-37.72916087
-5.49565096	-36.75902897
-6.29476879	-36.62776371
-6.67706877	-37.67372234
-6.93831117	-37.52279489
-5.77429436	-37.01104593
-6.59300875	-37.15264240
-6.22344657	-36.46518893
-6.49376414	-36.46281153
-6.99046909	-36.76102335
-6.02911020	-37.22799659
-6.32330766	-37.75876542
-6.44726034	-37.33503526
-6.59648986	-37.41778792
-5.99668762	-36.37264400
-5.87915989	-36.79439602
-5.80459667	-36.29941713
-6.41422253	-37.10405321
-6.52440194	-37.54827803
-5.99517765	-37.29705891
-5.90734442	-37.14039671
-5.59224458	-36.42204864
-6.42455561	-37.79766153
-6.70153056	-36.33006032
-6.69101934	-37.69059890
-5.78068745	-36.79552459
-6.20652904	-37.36870042
-6.26096742	-36.24693174
-6.44503108	-36.19693396
-6.54928890	-37.51000662
-6.32171155	-37.11472661
-6.71718436	-37.05705636
-6.74835054	-36.10610685
-6.17997506	-37.05048340
-5.82159155	-36.20635567
-6.56694508	-36.67187463
-5.57707494	-37.39012126
-6.33821763	-36.22142842
-5.94864646	-36.09584788
-6.10160639	-37.29405395
-6.96337429	-36.66004960
-6.71478768	-36.59464830
-6.27538821	-36.74687711
-5.56554073	-36.47028670
-6.91844745	-37.46618514
-5.90749533	-36.40939552
-7.06332779	-36.65487747
-5.62774157	-36.56992961
-6.29689089	-36.68729099
-6.23189759	-37.48582242
-6.02736823	-36.85848141
-6.18343755	-36.62488804
-6.62096762	-36.18670745
-6.54591490	-36.10713551
-5.60310775	-36.91870611
-5.97754002	-36.81697368
-6.51418981	-37.76219830
-6.27262638	-36.81725189
-5.82318071	-37.50726374
-6.53888090	-37.72807546
-5.87179606	-36.30224341
-6.91142728	-36.64066389
-7.00937131	-36.85284002
-6.17881796	-37.53534241
-6.66050019	-37.74740913
-6.89016338	-36.64155097
-5.71111991	-37.04600111
-5.95354292	-37.48352784
-5.92851376	-36.63537052
-5.68342327	-36.51113451
-6.49959031	-36.33311102
-6.29733192	-36.84726828
-6.58840695	-37.03559895
-5.73076700	-36.82694422
-5.81003912	-36.44958302
-6.72065850	-36.88965010
-7.11974376	-36.82244751
-5.95696470	-36.61610763
-6.67207288	-36.88679947
-6.09048225	-37.17049294
-7.01752084	-36.74317623
-7.12680467	-37.29098380
-6.05897337	-36.14679463
-6.07383726	-37.28766432
-5.97744810	-36.99282614
-6.47935673	-36.06430813
-6.83779787	-36.44829808
-6.76717452	-37.19733264
-6.28534227	-36.52021846
-5.81336961	-35.99540858
-6.98835275	-36.40975117
-6.06824932	-37.01229623
-6.30753779	-36.74793302
-6.38699920	-36.72634528
-6.96474216	-36.68407407
-6.64217313	-36.05969735
-5.94301784	-36.87088775
-6.58100374	-36.27548763
-6.93520416	-36.91713808
-6.40081475	-37.03100085
-6.35690285	-37.24231079
-7.00953154	-37.09536047
-5.57891920	-36.41050150
-5.65015676	-36.89575671
-5.97849599	-36.58680890
-5.57998618	-36.76167522
-6.50122398	-36.71764686
-6.56091406	-36.22520015
-5.59367122	-37.36787824
-5.79012979	-36.69022429
-5.83513930	-36.35608251
-5.50083350	-36.93500474
-6.87286468	-37.46553330
-6.63539500	-37.53915437
-6.85675488	-36.98372952
-5.67481211	-36.88010705
-6.53394928	-37.41656308
-6.72162603	-36.43489719
-5.98026099	-37.59958044
-7.08152105	-36.87978054
-6.22900462	-36.21534227
-6.50871764	-37.67406062
-6.59385306	-36.77193645
-5.66463054	-36.85138385
-6.24920630	-37.22621451
-6.28956894	-36.94872563
-6.66036115	-37.15462370
-6.57641864	-37.08543368
-6.06750805	-36.77046571
-6.61407720	-36.43296467
-6.58072391	-37.42115220
-6.13481200	-37.58326224
-6.21211559	-37.10729930
-5.65629190	-37.36352063
-6.13991330	-36.91765673
-5.98755009	-37.07725893
-6.40853054	-36.70807866
-6.26431775	-36.88118416
-5.62350834	-37.13454831
-6.15561067	-37.73920506
-6.89323801	-37.28591068
-6.61964974	-37.68393508
-6.63522191	-36.89002630
-6.02579909	-36.11021341
-6.31372013	-37.35812334
-6.63641429	-37.36659079
-5.91363470	-36.35349974
-5.62400906	-37.16285101
-6.49077123	-37.08055620
-6.21931172	-36.82851733
-6.16564899	-36.30285740
-6.76996374	-37.26098756
-5.99466931	-36.41984436
-6.47804760	-36.99712911
-5.69179057	-36.65795143
-6.30454076	-36.99828199
-7.11662042	-36.95424903
-6.11148313	-36.59251868
-6.51556156	-36.28735802
-6.83498307	-37.57998664
-5.62752410	-37.41593937
-6.88408581	-36.93743199
-6.55333009	-37.28623726
-5.86369685	-36.22350639
-6.99867700	-36.77492574
-6.78421647	-37.32170577
-5.89709725	-37.14140319
-6.85895898	-36.75286781
-6.61310444	-36.61646779
-7.01488116	-36.39817703
-7.12118325	-36.72251593
-5.82156509	-37.09985396
-6.09475872	-36.82844799
-6.08728039	-37.29052624
-6.68801299	-37.27580548
-5.95744340	-37.40208436
-6.05587805	-37.59968847
-5.72064806	-37.06258596
-7.02061459	-37.36655787
-6.56225874	-37.70079639
-7.03936356	-37.14939544
-7.07797251	-36.73431568
-6.02280938	-36.48911495
-5.57622471	-37.13447350
-7.06461067	-36.63094585
-5.77310659	-36.24594951
-6.03240640	-37.73362180
-6.88623097	-36.60208504
-6.20786656	-37.28842459
-5.93156796	-37.42248588
-7.05353795	-36.77865995
-5.73923258	-37.20460518
-5.54816404	-36.67639320
-5.81667628	-36.60590434
-6.38208484	-36.97415928
-6.23706552	-37.44159808
-6.89848609	-36.99556379
-6.97495581	-37.41938548
-6.21152316	-36.13241678
-5.95422673	-36.89287340
-6.38167457	-36.58117302
-5.52937339	-36.51378907
-7.06978267	-36.43345167
-7.13542990	-36.79130096
-5.87020628	-37.10117769
-5.73283062	-36.26012637
-6.48428544	-36.73096675
-6.49731392	-36.30198448
-6.26323440	-37.80272575
-5.63499676	-37.20978121
-5.91605865	-36.25141603
-6.68430032	-37.48212818
-5.75926050	-37.24212106
-6.55240477	-36.07729590
-6.25004511	-36.26002271
-5.63220310	-36.45848309
-5.50516304	-36.86516940
-6.69078040	-37.35732923
-5.92464164	-36.58109026
-6.53618552	-36.34670365
-6.23336319	-36.55233137
-6.22986232	-37.63801930
-6.64265930	-37.75375263
-6.67206351	-36.92131080
-5.54641387	-36.94076317
-5.58427225	-37.38060934
-5.95153062	-36.48491131
-5.73499554	-36.59165239
-6.72139797	-36.50650860
-6.45990611	-37.72413814
-5.56430425	-37.01731691
-6.72360705	-37.10357118
-5.52709627	-37.11913648
-6.71478764	-37.22026306
-6.71662616	-37.01495023
-6.93622753	-36.38629822
-6.84857163	-37.61590066
-5.52250317	-37.15827111
-6.85370208	-37.16455572
-6.34270472	-37.45526220
-5.81981899	-36.40368959
-6.73997977	-37.16305075
-6.68150304	-37.58176004
-6.09690497	-36.35116739
-5.91138116	-37.58736518
-5.77953372	-36.69619570
-6.18414041	-36.79231165
-6.19391348	-36.27844948
-5.79284456	-36.93507121
-5.60695661	-36.98372441
-6.04023088	-37.66946087
-6.21803376	-36.90576620
